fips,C50,LRC50,County,State,AACRmort,pmTOT,pmOA,pmDUST,pmSO4,pmNH4NO3,pmSOOT,pmSEAspry,pmOC,pmPOA,pmSOA,Avoc,Bvoc,PREMdeath,ASmok,ChildPOV,IncomIEQ,Population,NO2,O3
1001,1,0.27685656,Autauga,AL,382.4400472,8.856425762,4.918608189,1.787338292,1.069975579,0.517202139,0.319897753,0.243403918,2.765551662,0.788149184,4.130459023,1.411410475,2.71904855,9409.294766,0.191246585,0.193,4.388346157,55416,2.287187564,28.62031498
1003,2,0.39315291,Baldwin,AL,294.2014581,7.557820304,3.984132155,1.500586541,1.027185144,0.38856748,0.285378153,0.371970857,2.196671454,0.578903325,3.405228798,1.308566693,2.096662124,7467.596664,0.167954852,0.176,4.600735228,208563,1.968520383,28.48043454
1005,3,0.18823837,Barbour,AL,324.6088722,7.616222739,4.311328322,1.40303085,0.961858779,0.4342116,0.253856472,0.251936745,2.418109566,0.784685243,3.526643082,1.32245183,2.204191239,8929.474982,0.215408776,0.396,5.861660079,25965,1.136541471,28.84866273
1007,1,0.27685656,Bibb,AL,399.0604776,9.132600466,5.354958018,1.684212082,1.04411154,0.528687912,0.302629891,0.218001146,3.031123479,0.773790911,4.581167102,1.39986521,3.181301883,11741.93889,0.199164042,0.275,4.22812682,22643,1.936455558,28.89883741
1009,2,0.39315291,Blount,AL,427.3336336,9.187907616,4.562099854,2.208110721,1.089273353,0.783359461,0.343196283,0.201868051,2.524890284,0.771264096,3.790835738,1.526132017,2.264703725,9359.122343,0.196521582,0.194,4.068236891,57704,2.280361245,31.51875623
1011,4,-0.4140056,Bullock,AL,329.4216178,7.743022258,4.464891727,1.362421022,0.987027929,0.442805,0.249159312,0.236717346,2.506434899,0.770155563,3.694736169,1.31800934,2.376726841,12343.05287,0.234782912,0.457,6.046643914,10362,1.133417716,28.8283957
1013,5,0.25532972,Butler,AL,474.070755,7.575393347,4.389457629,1.27060303,0.975182464,0.437903259,0.247193633,0.255053387,2.455095695,0.637883186,3.751574351,1.232408478,2.519165908,12779.30485,0.221976555,0.366,5.05293385,19998,1.368392898,28.27039777
1015,1,0.27685656,Calhoun,AL,489.9162813,9.601263205,5.014042775,2.258621856,1.086638927,0.671224706,0.363435681,0.207299206,2.818553329,0.890707115,4.123335759,1.530007511,2.593328239,11527.7812,0.204622318,0.257,4.86160925,114611,2.59765934,31.07477061
1017,1,0.27685656,Chambers,AL,373.6341356,8.698289967,5.099832487,1.605478916,0.988507903,0.506313337,0.291913542,0.206243771,2.882572389,0.811569524,4.288263035,1.434749055,2.853513931,10350.04758,0.220403696,0.325,4.701950038,33843,1.633483899,29.75185375
1019,5,0.25532972,Cherokee,AL,397.6714432,9.174916267,4.766209269,2.089716821,1.084341514,0.711132878,0.324920467,0.198595257,2.657072878,0.83079735,3.935411859,1.551259291,2.384152626,11683.17111,0.191448526,0.275,4.640719963,25725,1.976633716,31.17399712
1021,1,0.27685656,Chilton,AL,495.0908503,9.195226156,5.075595122,1.905369045,1.075405579,0.555862101,0.347231971,0.235762341,2.853488849,0.790115242,4.285479912,1.444576273,2.840903643,11099.68353,0.19673275,0.263,4.902037253,43941,2.477216088,29.56974734
